Číslo výkresu,Číslo místnosti,Název místnosti
A103,76,
A103,207,
Z101,148,
Z101,149,
Z101,150,
Z101,151,
Z101,152,
Z101,153,
Z101,154,
Z101,155,
Z101,156,
Z101,157,
Z101,158,
Z101,159,
Z101,160,
Z101,161,
Z101,162,
Z101,163,
Z101,164,
Z101,165,
Z101,166,
Z101,167,
Z101,168,
Z101,169,
Z101,170,
Z101,171,
Z101,172,
Z101,173,
Z101,174,
Z101,175,
Z101,176,
Z101,177,
Z101,178,
Z101,179,
Z101,180,
Z101,181,
Z101,182,
Z101,183,
Z102,77,
Z102,78,
Z102,79,
Z102,80,
Z102,81,
Z102,82,
Z102,83,
Z102,84,
Z102,85,
Z102,86,
Z102,87,
Z102,88,
Z102,89,
Z102,90,
Z102,91,
Z102,92,
Z102,93,
Z102,94,
Z102,95,
Z102,96,
Z102,97,
Z102,98,
Z102,99,
Z102,100,
Z102,101,
Z102,102,
Z102,103,
Z102,104,
Z102,105,
Z102,106,
Z102,107,
Z102,108,
Z102,109,
Z102,110,
Z102,111,
Z102,112,
Z102,113,
Z102,114,
Z103,17,
Z103,18,
Z103,19,
Z103,20,
Z103,21,
Z103,22,
Z103,23,
Z103,24,
Z103,25,
Z103,26,
Z103,27,
Z103,28,
Z103,29,
Z103,30,
Z103,32,
Z104,208,
Z104,209,
Z104,210,
Z104,211,
